antecedent,consequent,confidence,lift,support
"Cheese, Pasta Sauce",Pasta,0.7104622871046229,6.043779012314923,0.029287863590772317
"Milk, Sugar",Coffee,0.5734072022160664,5.006015592026429,0.020762286860581746
"Butter, Eggs",Bread,0.6932367149758454,4.688989177957381,0.028786359077231694
"Bread, Cereal",Milk,0.6871508379888268,4.6289823342895975,0.024674022066198596
"Milk, Pasta Sauce",Pasta,0.47368421052631576,4.029549128794683,0.012637913741223672
"Chips, Pasta Sauce",Pasta,0.463302752293578,3.9412358706202837,0.010130391173520562
"Garbage Bags, Pasta",Pasta Sauce,0.7484276729559748,3.935561128360268,0.011935807422266801
"Garbage Bags, Pasta Sauce",Pasta,0.4594594594594595,3.9085416474494976,0.011935807422266801
"Pasta, Soap",Pasta Sauce,0.7076023391812866,3.7208836084585584,0.012136409227683049
"Cereal, Coffee",Milk,0.5478723404255319,3.69073461759632,0.01033099297893681
"Chips, Pasta",Pasta Sauce,0.696551724137931,3.6627746253455546,0.010130391173520562
"Butter, Milk",Bread,0.5381526104417671,3.640014603870026,0.013440320962888667
"Pasta, Sugar",Pasta Sauce,0.6864406779661016,3.6096063076593,0.01624874623871615
"Pasta Sauce, Soft Drink",Pasta,0.42191780821917807,3.589181354902052,0.015446339017051154
Pasta,Pasta Sauce,0.6791808873720137,3.571431142984692,0.079839518555667
Pasta Sauce,Pasta,0.41983122362869196,3.5714311429846917,0.079839518555667
"Milk, Pasta",Pasta Sauce,0.6774193548387096,3.5621682319314,0.012637913741223672
"Cooking Oil, Pasta",Pasta Sauce,0.6745562130177515,3.5471125758370157,0.011434302908726178
"Pasta, Soft Drink",Pasta Sauce,0.6724890829694323,3.536242698947911,0.015446339017051154
"Pasta Sauce, Toothbrush",Pasta,0.41411042944785276,3.5227653426579284,0.01354062186559679
"Butter, Pasta",Pasta Sauce,0.6684491978609626,3.51499921027099,0.012537612838515547
"Cereal, Toothbrush",Toothpaste,0.3992673992673993,3.5072211195559215,0.010932798395185557
"Eggs, Pasta Sauce",Pasta,0.4109090909090909,3.495532112938256,0.011334002006018053
