items,num_items,freq,support
Sugar,1,2033,0.20391173520561684
Soft Drink,1,1959,0.19648946840521564
Pasta Sauce,1,1896,0.19017051153460382
Butter,1,1745,0.17502507522567703
Cereal,1,1684,0.16890672016048144
Toothbrush,1,1664,0.16690070210631897
Soap,1,1545,0.15496489468405217
Eggs,1,1504,0.15085255767301906
Cooking Oil,1,1504,0.15085255767301906
Tea,1,1498,0.15025075225677031
Cheese,1,1484,0.14884653961885658
Milk,1,1480,0.14844533600802406
Bread,1,1474,0.14784353059177532
Detergent,1,1428,0.1432296890672016
Dish Soap,1,1237,0.12407221664994984
Shampoo,1,1218,0.12216649949849549
Garbage Bags,1,1217,0.12206619859578736
Chips,1,1185,0.11885656970912738
Namkeen,1,1175,0.11785356068204614
Chocolate,1,1175,0.11785356068204614
Pasta,1,1172,0.11755265797392177
Cookies,1,1162,0.11654964894684053
Yogurt,1,1157,0.1160481444332999
Coffee,1,1142,0.11454363089267804
Biscuits,1,1140,0.11434302908726178
Juice,1,1139,0.11424272818455367
Toothpaste,1,1135,0.11384152457372117
Tissue Paper,1,1134,0.11374122367101304
Rice,1,1127,0.11303911735205617
"Pasta, Pasta Sauce",2,796,0.079839518555667
"Bread, Butter",2,729,0.07311935807422267
"Cereal, Milk",2,668,0.06700100300902709
"Chips, Soft Drink",2,653,0.06549648946840522
"Sugar, Tea",2,604,0.06058174523570712
"Coffee, Sugar",2,597,0.05987963891675025
"Toothbrush, Toothpaste",2,567,0.05687061183550652
"Bread, Eggs",2,501,0.05025075225677031
"Bread, Milk",2,479,0.048044132397191575
"Shampoo, Soap",2,466,0.04674022066198596
"Cooking Oil, Rice",2,454,0.04553660982948846
"Cheese, Pasta",2,441,0.044232698094282846
"Chocolate, Soft Drink",2,441,0.044232698094282846
"Cookies, Tea",2,436,0.04373119358074223
"Coffee, Milk",2,425,0.04262788365095286
"Detergent, Dish Soap",2,416,0.04172517552657974
"Butter, Eggs",2,414,0.04152457372116349
"Cheese, Pasta Sauce",2,411,0.041223671013039115
"Pasta Sauce, Sugar",2,398,0.0399197592778335
"Soft Drink, Sugar",2,380,0.03811434302908726
"Pasta Sauce, Soft Drink",2,365,0.0366098294884654
"Milk, Sugar",2,361,0.0362086258776329
"Bread, Cereal",2,358,0.03590772316950853
"Butter, Sugar",2,355,0.03560682046138415
"Cereal, Sugar",2,338,0.033901705115346036
"Soft Drink, Toothbrush",2,330,0.033099297893681046
"Pasta Sauce, Toothbrush",2,326,0.03269809428284855
"Sugar, Toothbrush",2,325,0.03259779338014042
"Butter, Pasta Sauce",2,324,0.0324974924774323
"Butter, Soft Drink",2,322,0.03229689067201605
"Cooking Oil, Sugar",2,314,0.03149448345035105
"Cereal, Pasta Sauce",2,313,0.03139418254764293
"Cooking Oil, Soft Drink",2,308,0.030892678034102308
"Soap, Sugar",2,307,0.030792377131394183
"Eggs, Sugar",2,305,0.030591775325977934
"Cereal, Soft Drink",2,304,0.03049147442326981
"Butter, Toothbrush",2,303,0.030391173520561685
"Pasta Sauce, Tea",2,298,0.02988966900702106
"Pasta Sauce, Soap",2,298,0.02988966900702106
"Soap, Soft Drink",2,294,0.029488465396188566
"Cheese, Soft Drink",2,294,0.029488465396188566
"Cheese, Sugar",2,293,0.029388164493480442
"Butter, Soap",2,292,0.029287863590772317
"Cheese, Pasta, Pasta Sauce",3,292,0.029287863590772317
"Soft Drink, Tea",2,289,0.028986960882647943
"Bread, Soft Drink",2,287,0.028786359077231694
"Bread, Butter, Eggs",3,287,0.028786359077231694
"Cooking Oil, Pasta Sauce",2,284,0.02848545636910732
"Bread, Sugar",2,283,0.0283851554663992
"Butter, Cereal",2,281,0.02818455366098295
"Eggs, Pasta Sauce",2,275,0.027582748244734202
"Detergent, Soft Drink",2,274,0.027482447342026078
"Cereal, Toothbrush",2,273,0.027382146439317953
"Milk, Pasta Sauce",2,266,0.026680040120361084
"Detergent, Sugar",2,266,0.026680040120361084
"Garbage Bags, Sugar",2,265,0.02657973921765296
"Bread, Pasta Sauce",2,264,0.026479438314944835
"Cereal, Tea",2,262,0.026278836509528586
"Butter, Cheese",2,262,0.026278836509528586
"Eggs, Soft Drink",2,262,0.026278836509528586
"Butter, Cooking Oil",2,261,0.02617853560682046
"Garbage Bags, Pasta Sauce",2,259,0.025977933801404212
"Butter, Tea",2,257,0.025777331995987963
"Detergent, Pasta Sauce",2,254,0.025476429287863592
"Chocolate, Sugar",2,254,0.025476429287863592
"Tea, Toothbrush",2,251,0.02517552657973922
"Milk, Toothbrush",2,250,0.025075225677031094
"Cereal, Cooking Oil",2,250,0.025075225677031094
"Milk, Soft Drink",2,250,0.025075225677031094
"Chips, Sugar",2,249,0.02497492477432297
"Butter, Milk",2,249,0.02497492477432297
"Eggs, Toothbrush",2,249,0.02497492477432297
"Soap, Toothbrush",2,247,0.02477432296890672
"Bread, Cereal, Milk",3,246,0.024674022066198596
"Soft Drink, Toothpaste",2,246,0.024674022066198596
"Shampoo, Soft Drink",2,245,0.02457372116349047
"Biscuits, Sugar",2,244,0.024473420260782346
"Bread, Toothbrush",2,243,0.02437311935807422
"Cereal, Soap",2,243,0.02437311935807422
"Butter, Detergent",2,243,0.02437311935807422
"Garbage Bags, Soft Drink",2,242,0.024272818455366097
"Namkeen, Soft Drink",2,242,0.024272818455366097
"Cereal, Detergent",2,240,0.024072216649949848
"Cooking Oil, Tea",2,240,0.024072216649949848
"Pasta Sauce, Shampoo",2,239,0.023971915747241727
"Cereal, Cheese",2,239,0.023971915747241727
"Cooking Oil, Soap",2,239,0.023971915747241727
"Sugar, Yogurt",2,238,0.023871614844533602
"Juice, Soft Drink",2,237,0.023771313941825477
"Dish Soap, Soft Drink",2,237,0.023771313941825477
"Dish Soap, Sugar",2,237,0.023771313941825477
"Pasta, Sugar",2,236,0.023671013039117353
"Cookies, Soft Drink",2,235,0.02357071213640923
"Shampoo, Sugar",2,235,0.02357071213640923
"Rice, Sugar",2,234,0.023470411233701104
"Cheese, Toothbrush",2,233,0.02337011033099298
"Bread, Soap",2,232,0.023269809428284854
"Cereal, Eggs",2,232,0.023269809428284854
"Cheese, Soap",2,230,0.023069207622868605
"Pasta, Soft Drink",2,229,0.02296890672016048
"Sugar, Toothpaste",2,228,0.022868605817452356
"Soap, Tea",2,228,0.022868605817452356
"Soft Drink, Yogurt",2,228,0.022868605817452356
"Eggs, Soap",2,228,0.022868605817452356
"Cooking Oil, Toothbrush",2,227,0.02276830491474423
"Detergent, Toothbrush",2,227,0.02276830491474423
"Bread, Cooking Oil",2,226,0.022668004012036107
"Biscuits, Butter",2,226,0.022668004012036107
"Cookies, Sugar",2,224,0.02246740220661986
"Butter, Dish Soap",2,224,0.02246740220661986
"Eggs, Tea",2,224,0.02246740220661986
"Dish Soap, Pasta Sauce",2,221,0.022166499498495487
"Sugar, Tissue Paper",2,221,0.022166499498495487
"Milk, Tea",2,221,0.022166499498495487
"Juice, Sugar",2,221,0.022166499498495487
"Cheese, Tea",2,221,0.022166499498495487
"Cheese, Eggs",2,221,0.022166499498495487
"Detergent, Milk",2,220,0.022066198595787363
"Coffee, Pasta Sauce",2,219,0.021965897693079238
"Biscuits, Pasta Sauce",2,219,0.021965897693079238
"Pasta Sauce, Rice",2,218,0.021865596790371113
"Chips, Pasta Sauce",2,218,0.021865596790371113
"Bread, Detergent",2,218,0.021865596790371113
"Juice, Pasta Sauce",2,217,0.02176529588766299
"Detergent, Tea",2,216,0.021664994984954864
"Milk, Soap",2,215,0.02156469408224674
"Namkeen, Sugar",2,215,0.02156469408224674
"Chocolate, Pasta Sauce",2,215,0.02156469408224674
"Cooking Oil, Milk",2,215,0.02156469408224674
"Biscuits, Soft Drink",2,215,0.02156469408224674
"Detergent, Eggs",2,214,0.021464393179538615
"Coffee, Soft Drink",2,213,0.02136409227683049
"Soft Drink, Tissue Paper",2,213,0.02136409227683049
"Butter, Toothpaste",2,213,0.02136409227683049
"Butter, Shampoo",2,212,0.021263791374122366
"Pasta Sauce, Yogurt",2,212,0.021263791374122366
"Eggs, Milk",2,212,0.021263791374122366
"Cooking Oil, Eggs",2,210,0.02106318956870612
"Butter, Coffee",2,209,0.020962888665997995
"Cereal, Garbage Bags",2,208,0.02086258776328987
"Toothbrush, Yogurt",2,208,0.02086258776328987
"Cheese, Cooking Oil",2,208,0.02086258776328987
"Butter, Namkeen",2,207,0.020762286860581746
"Coffee, Milk, Sugar",3,207,0.020762286860581746
"Namkeen, Pasta Sauce",2,207,0.020762286860581746
"Cereal, Dish Soap",2,206,0.02066198595787362
"Pasta, Toothbrush",2,205,0.020561685055165497
"Detergent, Soap",2,205,0.020561685055165497
"Chocolate, Toothbrush",2,204,0.020461384152457372
"Butter, Rice",2,204,0.020461384152457372
"Cereal, Shampoo",2,204,0.020461384152457372
"Juice, Toothbrush",2,204,0.020461384152457372
"Cheese, Milk",2,203,0.020361083249749248
"Cereal, Rice",2,202,0.020260782347041123
"Cereal, Pasta",2,202,0.020260782347041123
"Bread, Tea",2,202,0.020260782347041123
"Butter, Garbage Bags",2,202,0.020260782347041123
"Eggs, Garbage Bags",2,201,0.020160481444333
"Bread, Cheese",2,201,0.020160481444333
"Cereal, Tissue Paper",2,201,0.020160481444333
"Pasta Sauce, Toothpaste",2,200,0.020060180541624874
"Cheese, Detergent",2,200,0.020060180541624874
"Garbage Bags, Soap",2,200,0.020060180541624874
"Dish Soap, Toothbrush",2,199,0.01995987963891675
"Cookies, Toothbrush",2,199,0.01995987963891675
"Butter, Yogurt",2,199,0.01995987963891675
"Rice, Soft Drink",2,199,0.01995987963891675
"Cereal, Chips",2,198,0.019859578736208625
"Dish Soap, Milk",2,198,0.019859578736208625
"Namkeen, Toothbrush",2,198,0.019859578736208625
"Pasta Sauce, Tissue Paper",2,197,0.0197592778335005
"Cooking Oil, Garbage Bags",2,196,0.01965897693079238
"Cookies, Pasta Sauce",2,196,0.01965897693079238
"Dish Soap, Soap",2,196,0.01965897693079238
"Chocolate, Tea",2,195,0.019558676028084254
"Butter, Tissue Paper",2,195,0.019558676028084254
